year,time_elapsed,failed_chunks
2009.0,1.009139060974121,[]
2011.0,1.818718671798706,[]
2012.0,2.623699188232422,[]
2014.0,1.5276179313659668,[]
2015.0,4.201231956481934,[]
2016.0,4.671857595443726,[]
2017.0,8.63294005393982,[]
2018.0,6.779801368713379,[]
2009.0,0.925356388092041,[]
2011.0,2.193108081817627,[]
2012.0,1.7756457328796387,[]
2014.0,1.447852373123169,[]
2015.0,4.839649677276611,[]
2016.0,5.434362411499023,[]
2017.0,10.700021028518677,[]
2018.0,8.199010372161865,[]
2009.0,0.8112518787384033,[]
2011.0,1.9714477062225342,[]
2012.0,2.077028751373291,[]
2014.0,1.8592798709869385,[]
2015.0,2.8794591426849365,[]
2016.0,5.443001985549927,[]
2017.0,8.833549737930298,[]
2018.0,7.904258728027344,[]
2009.0,1.1181666851043701,[]
2011.0,2.072319507598877,[]
2012.0,2.0663764476776123,[]
2014.0,2.689422369003296,[]
2015.0,3.706979751586914,[]
2016.0,5.95641565322876,[]
2017.0,9.446496725082397,[]
2018.0,7.7563276290893555,[]
2009.0,1.5004453659057617,[]
2011.0,1.7564423084259033,[]
2012.0,1.7613263130187988,[]
2014.0,1.4465844631195068,[]
2015.0,4.223657131195068,[]
2016.0,4.526061296463013,[]
2017.0,7.9868996143341064,[]
2018.0,7.523791074752808,[]
2009.0,3.212458372116089,[]
2011.0,2.3717031478881836,[]
2012.0,1.6654331684112549,[]
2014.0,2.1688387393951416,[]
2015.0,4.529311180114746,[]
2016.0,5.157531261444092,[]
2017.0,8.158981561660767,[]
2018.0,8.350212812423706,[]
2009.0,1.2544381618499756,[]
2011.0,1.9265220165252686,[]
2012.0,1.7657537460327148,[]
2014.0,1.5897448062896729,[]
2015.0,4.233397483825684,[]
2016.0,5.139596462249756,[]
2017.0,11.053699254989624,[]
2018.0,7.846387147903442,[]
2009.0,0.954348087310791,[]
2011.0,1.8656489849090576,[]
2012.0,1.8420188426971436,[]
2014.0,1.895024061203003,[]
2015.0,4.622842073440552,[]
2016.0,4.431012153625488,[]
2017.0,8.414321184158325,[]
2018.0,7.810076713562012,[]
