team,year,page,chunk
Berkeley,2013,Team:Berkeley#Attributions_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:Berkeley/Attributions
From 2013.igem.org
Project Blue Jeans
Introduction
Making Indican
Dyeing with Indican
Characterization of Indoxyl Production
Human Practices
Talks with Dyeing industry
Visit to a Scale-Up Facility
Engineering a Cost Effective System
Outreach
Methods
Protocols
Parts
Other Applications
Notebooks
iGEM
Judging
Safety
Team
Attributions
Attributions
Wetlab
Presentation
Sponsors
Attributions
Wetlab
The Dueber Lab hosted iGEM once again this year. We used many of the lab resources including the Golden Gate synthesis automation, Golden Gate parts and connectors, and Golden Gate backbones. The E. Coli promoters we used were cloned into the Golden Gate format by our team. All genes were either PCRed from Dueber Lab DNA templates, or synthesized via gene synthesis. In one instance, a template for the GT oleD came from the Anderson Lab from which we then created our own mutants for in vitro screening.
We used NCBI to locate many homologous GTs to test for activity on indoxyl. Indeed, extensive literature searches through tools such as NCBI and Uniprot allowed us to find the primary enzymes in our pathway, FMO, Glu, and GT. Cloning for both in vivo and in vitro testing was completed in full by our iGEM team. Specific use of analysis machinery such as LC-MS, HPLC, or stereomicroscope was supervised by iGEM team mentor Zach.
Presentation Materials
This Wiki drew inspiration (and basic code) from Berkeley’s 2012 and 2011 teams ( 2011 , and 2012 ). Our logo, Blue Genes, was designed by Leticia Cervantes, sister of fellow team member Bernardo. Unless cited, all other materials were designed by us.
Sponsors
Retrieved from "" http://2013.igem.org/Team:Berkeley/Attributions ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Berkeley,2013,Team:Berkeley#Team_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:Berkeley/Team
From 2013.igem.org
Project Blue Jeans
Introduction
Making Indican
Dyeing with Indican
Characterization of Indoxyl Production
Human Practices
Talks with Dyeing industry
Visit to a Scale-Up Facility
Engineering a Cost Effective System
Outreach
Methods
Protocols
Parts
Other Applications
Notebooks
iGEM
Judging
Safety
Team
Attributions
Team
Bernie
Hojae
Roy
Ramya
Thomas
Zach
Chris
Terry
John
Team
Bernardo Cervantes
Bernardo Cervantes is a final year Bioengineering major enticed by the sheer comfort and joy of being in lab for unspeakable hours. His work revolved around finding many of the  GTs we tested by building cDNA libraries from plants and he has since mastered all flavors of PCR. He was also involved with putting together our presentation. He is perhaps most remembered as the napkin fairy, keeping everyone of us perfectly stocked with paper towels.
Hojae Lee
Hojae Lee is a 3rd year bioengineering major with previous experience working with nanodevices and biomedicine. She decided to pursue iGEM for the immersive experience - which she definitely received. Her wetlab work consisted of manipulating yeast systems for further application of our indigo pathway. Most importantly, Hojae did the most work on our economic and environmental analysis, deciphering the art of chemical process design. Hojae was the mastermind behind this wiki as well as the illustrator expert in our group, and given the location of her bench secluded from the rest of ours, she was best remembered for not always being remembered.
Roy Park
Roy Park began his 2nd year in the Bioengineering major this year. He performed almost all the experiments relating to quantifying our indigo production and also worked on characterizing the kinetic parameters of the enzymes we used in our indigo biosynthesis pathway. He was also quickest to help any of our team whenever we needed help (as long as it didn't involve sonication in the cold room). Though current evidence suggests Roy is a sophomore, he will remain a freshman forever in our hearts.
Ramya Prathuri
Ramya Prathuri is a 4th year bioengineering student known best for her impeccable taste in expensive pipettes. In wetlab, she worked predominantly on isolating and characterizing several of the glucosyl transferases we tested, and she also made our BioBrick parts for the Registry. Ramya played a role in creating our poster, presentation, and most of the written content for our material. She specializes in eating Thai food, throwing used centrifuge tubes into distally located waste bins, and never submitting sequencing on time.
Thomas Rich
Thomas Rich aka 'Sir Thomas' is in his final semester of Bioengineering at Berkeley. He was focused on mutagenizing some of our GTs to expand their substrate specificity and working on potential applications for our indigo biosynthesis pathway in yeast. He designed the introductory slider and did most of the Wiki styling and plugins. Thomas aspires to use his iGEM experience to help him think outside the box in all of life's applications, and eventually, become a high school teacher. Most notably, Thomas' facial hair grows at a most rapid pace, engulfing his face a mere week after shaving.
Mentor: Zach Russ
Zachary Russ is a 3rd year graduate student in the Dueber Lab tasked with guiding our team down the path of science. He helped us define many of our research objectives and troubleshoot many of our assays. In particular, Zach experimented with indigo production in yeast which could broaden the applications for our current biosynthesis pathway. His most prized skills include his ability to pun his way through any conversation and consume vast quantities of tangerine juice.
Mentor: Chris Eiben
Christopher Eiben, another iGEM mentor, is a 2nd year Bioengineering graduate student from the Keasling Lab. His protein engineering experience with FoldIt was extremely useful in helping us better model our GTs and hypothesize Glu activity. When together, Chris and Zach deliver a formidable onslaught of puns that both awe us and make us contemplate dropping out of iGEM.
Advisor: Terry Johnson
Terry has a master's degree in chemical engineering from MIT and is currently teaching bioengineering at UC Berkeley. He hopes that by doing so, he will be giving students the tools that they will need to repair him when he gets older.
Advisor: John Dueber
An Assistant Professor in the Department of Bioengineering at UC Berkeley and a principle investigator of the Energy Biosciences Institute, John is our fearless leader.
Retrieved from "" http://2013.igem.org/Team:Berkeley/Team ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Kent,2013,Team:Kent#Team_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:Kent/Team
From 2013.igem.org
Home
Official Team Profile
Team
Project
Parts Submitted to the Registry
Notebook
Attributions
The Kent iGEM team of 2013. From left to right: Kara Stubbs , David Hanly , Laura Carman , Sarah Dowie , Michael Coghlan , Rathaven Gunaratnarajah .
Team members:
Laura
I will soon be entering the final year of my Biochemistry degree, but hope to continue in the field to a higher degree qualification. It is my ultimate aim to work within the industry of biotechnology.
Being part of iGEM is both exciting and rewarding, in being able to work within a team on our own project. Whilst discovering more about the area of synthetic biology.
As far as hobbies go, I play both the clarinet and flute and I enjoy reading in my spare time.
Michael
Hey, I'm Michael. I'm studying BSc Biomedical Science whilst being a professor in awesomeness, alongside competing in iGem. It's not easy.
I have a huge interest in synthetic biology, and support the idea of it. ""Do not go where the path may lead, go instead where there is no path and leave a trail"" (Ralph Waldo Emerson). Being at the forefront of synthetic biology is a unique and amazing opportunity, and being a part of such a huge community where everyone has their own ideas is really inspiring, and I'd like to wish everyone the best of luck (and commiserations for when they lose to us)! :)
Sarah
Hey I’m Sarah and I’m a member of iGem team Kent. I’m currently studying Biochemistry and will soon be entering my third year of study. In my free time I enjoy reading comics, running and gaming. Working as part of the iGem team has fuelled my interest in synthetic biology and has helped me to gain much needed experience that can be an advantage for my future career in science.
Rathu
My name is Rathaven Gunaratnarajah and I'm a third year biomedical scientist.
Upon completion of my biomedical science degree, I hope to do a postgraduate degree in medicine and qualify as a doctor.
In my free time I enjoy running, cycling and swimming.
David
Hi, I’m David, and I’ll soon be starting the final year of my biomedical science degree here at Kent. On finishing, I currently hope to either do a masters or go straight to work in industry, ideally in an as yet undecided biomedical field. In my free time, I enjoy going to the gym, watching sports, and spending time with my friends. Also, I’m loving my time working for our university’s first iGEM team. The people I’m working with are great and being part of the worldwide iGEM community really is a unique privilege. I’m amazed generally by the possibilities that synthetic biology holds for our future, and now genuinely hope that I can integrate it at some point with my future career after iGEM.
Kara
Hi I'm Kara Stubbs, I've just finished the second year of my degree (BSc Biochemistry) and I'm moving into the final year with the hope to go on to do an MSc in Bio-engineering or Biochemistry.
I originate from South-West London and now reside in Canterbury.
My hobbies include hiking, gaming (tabletop or pc) and pretending to be a computer programmer hence why I'm the biggest contributor to this wiki.
Instructors:
Dr Mark Shepherd
I am Dr. Mark Shepherd, an instructor for the undergraduate iGEM team from the University of Kent and a Lecturer in Microbial Biochemistry at the School of Biosciences. My research interests include E. coli respiration, disulphide protein folding, oxygen-binding proteins, and the response of bacteria to nitric oxide. Long-term interests in pigment biosynthesis and bacterial physiology/genetics also fuel my enthusiasm for synthetic biology.
Dr Wei-Feng Xue
I am Dr. Wei-Feng Xue and I am one of the instructors for the undergraduate iGem team Kent. Currently I am a Lecturer in Chemical Biology at the School of Biosciences at the University of Kent. My research interests include supramolecular protein assembly, protein folding and misfolding, amyloid and prions. Having a long-standing interest and expertise in protein chemistry and modelling, I am excited to be part of the iGem synthetic biology community at a part of Team Kent.
What we did
Laura Carman - Laboratory work, digitising of lab notes, meeting notes and meeting notes.
Michael Coghlan - Laboratory work, presentation preparation, meeting notes and organising travel to European Jamboree.
Sarah Dowie - Laboratory work, abstract, presentation preparation, meeting notes and presenting.
Rathu Guna - Laboratory work, meeting notes and Safety forms.
David Hanly - Laboratory work, meeting notes and organising travel to European Jamboree.
Kara Stubbs - Laboratory work, meeting notes, graphic design, Wiki coding and coordinating wiki content.
Where we're from
The Team Kent iGEM team hails from the University of Kent Canterbury campus. Situated on top of Tyler hill, the Stacey and Ingram buildings contain all the technical equipment needed to carry out this project.
Retrieved from "" http://2013.igem.org/Team:Kent/Team ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Kent,2013,Team:Kent#Attributions_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:Kent/Attributions
From 2013.igem.org
Home
Official Team Profile
Team
Project
Parts Submitted to the Registry
Notebook
Attributions
What we did.
In our project, we managed to create two novel biobricks containing the NO sensing promoter norV and the other containing the nrfA gene. These parts will form building blocks for potential future projects for testing for the presence of NOx or its conversion to Ammonia. We hope that our project has stimulated interest in alternatives to the current methods of NOx removal from the environment.
Our project is based on the research on norV and the nrfA genes reported in:
Clarke, TA., Mills, PC. et al (2008). Escherichia coli cytochrome c nitrite reductase NItalic textrfA.. Methods in Enzymology. 437: 63-77. * Bush M, Ghosh T, Tucker N, Zhang X, Dixon R: Transcriptional regulation by the dedicated NO sensor, NorR: a route towards NO detoxification; Biochem. Soc. Trans. (2011) 39: 289–293; doi:10.1042/BST0390289
Bush M, Ghosh T, Tucker N, Zhang X, Dixon R: Transcriptional regulation by the dedicated NO sensor, NorR: a route towards NO detoxification; Biochem. Soc. Trans. (2011) 39: 289–293; doi:10.1042/BST0390289
Tucker N, Ghosh T, Bush M, Zhang X, Dixon R: Essential roles of here enhancer sites in σ54 – dependent transcription by the nitric oxide sensing regulatory protein NorR; Nucl. Acids Res. (2010) 38(4): 1182 – 1194; doi: 10.1093/nar/gkp1065.
We would like to thank the iGEM foundation, University of Kent and our project supervisors for giving us the opportunity to undertake this project.
Retrieved from "" http://2013.igem.org/Team:Kent/Attributions ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Minnesota,2013,Team:Minnesota#Team Students_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:Minnesota/Team Students
From 2013.igem.org
Team:Minnesota - Main Style Template
Team:Minnesota
HOME
TEAM
PROJECT
NOTEBOOK
ATTRIBUTIONS
OUTREACH
SAFETY
SPONSORS
Follow us on Twitter!
Please mouse over each icon to learn about our hardworking undergraduate team members!
iGEM Home | iGEM Judge-Click Here! | Team Minnesota Info | University of Minnesota Home | Contact Us!
Retrieved from "" http://2013.igem.org/Team:Minnesota/Team_Students ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Minnesota,2013,Team:Minnesota#Team Mentors Advisors_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:Minnesota/Team Mentors Advisors
From 2013.igem.org
Team:Minnesota - Main Style Template
Team:Minnesota
HOME
TEAM
PROJECT
NOTEBOOK
ATTRIBUTIONS
OUTREACH
SAFETY
SPONSORS
Follow us on Twitter!
Please mouse over each icon to learn about our brilliant advisors and mentors!
iGEM Home | iGEM Judge-Click Here! | Team Minnesota Info | University of Minnesota Home | Contact Us!
Retrieved from "" http://2013.igem.org/Team:Minnesota/Team_Mentors_Advisors ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Minnesota,2013,Team:Minnesota#Attributions_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:Minnesota/Attributions
From 2013.igem.org
Team:Minnesota - Main Style Template
Team:Minnesota - Attributions
HOME
TEAM
PROJECT
NOTEBOOK
ATTRIBUTIONS
OUTREACH
SAFETY
SPONSORS
Follow us on Twitter!
Sciency Stuff
Pichia Expression System:
Project Design: Stephen Heinsch, Jennifer Strommen, Jake Tenold, Mark Held, Grayson Wawrzyn
Parts cloning: Stephen Heinsch, Jessica Tarnowski, Jennifer Strommen, Niko Le Miuex, Jake Tenold
Expression of Active Human Insulin:
Project idea: Jake Tenold, Ashley Masching
Project Design: Jessica Tarnowski, Jake Tenold, Mark Held, Grayson Wawrzyn
Parts cloning: Stephen Heinsch, Jessica Tarnowski, Jennifer Strommen, Niko Le Miuex, Jake Tenold
Outreach:
Middle school curriculum: Basem Al-Shayeb, Suzie Hsu
Middle school teachers: Basem Al-Shayeb, Suzie Hsu, Jessica Tarnowski
Synthetic Biology Video Shorts: Basem Al-Shayeb, Suzie Hsu
Synthetic Biolgists Society: Jennifer Strommen, Basem Al-Shayeb, Suzie Hsu, Jessica Tarnowski
Wiki:
Logo Design: Suzie Hsu
Wiki Content Contributors: Everyone!
Wiki Content Management: Stephen Heinsch, James Ellinger
Special Thanks: We would like to thank George Chao and Yahya Rushdi for designing a great template for us to build upon.
T-Shirt:
T-Shirt Design: Suzie Hsu, Aunica Kane, James Ellinger
iGEM Home | iGEM Judge-Click Here! | Team Minnesota Info | University of Minnesota Home | Contact Us!
Retrieved from "" http://2013.igem.org/Team:Minnesota/Attributions ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Minnesota,2013,Team:Minnesota#Team_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:Minnesota/Team
From 2013.igem.org
Team:Minnesota - Main Style Template
Team:Minnesota
HOME
TEAM
PROJECT
NOTEBOOK
ATTRIBUTIONS
OUTREACH
SAFETY
SPONSORS
Follow us on Twitter!
Welcome to our team page! Our team is composed of great, enthusiastic, science-loving people! Use the icons on the right to find out more!
iGEM Home | iGEM Judge-Click Here! | Team Minnesota Info | University of Minnesota Home | Contact Us!
Retrieved from "" http://2013.igem.org/Team:Minnesota/Team ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
BYU_Provo,2013,Team:BYU Provo#Notebook#LargePhage#Springexp#Period1#Exp#Team:BYU Provo#5.3 T7 phage selection method test_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:BYU Provo/Notebook/LargePhage/Springexp/Period1/Exp/Team:BYU Provo/5.3 T7 phage selection method test
From 2013.igem.org
Home
Team
Overview
Official Team Profile
Team Video
Undergraduates
Mentors
Project
Overview
Background
Experimental Design
Notebook
Overview
Phage Team
Cholera Team
Results
Overview
Judging Criteria
Experimental
Modeling
Parts Submitted to the Registry
A Taste of Toronto
Human Practices
Overview
Orem Public Library Visit
The Adventure of Baxter Bacteria
Safety
Attributions & Collaborations
Attributions & Acknowledgements
Collaborations
iGEM 2013
Large Phage May - June Notebook: Experiments
Overview
March-April
May-June
July-August
September-October
Title
I) Purpose
II) Expected Outcome
III) Reagants Used
IV) Actual Procedure
V) Results
Retrieved from "" http://2013.igem.org/Team:BYU_Provo/Notebook/LargePhage/Springexp/Period1/Exp/Team:BYU_Provo/5.3_T7_phage_selection_method_test ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
BYU_Provo,2013,Team:BYU Provo#Team_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:BYU Provo/Team
From 2013.igem.org
Home
Team
Overview
Official Team Profile
Team Video
Undergraduates
Mentors
Project
Overview
Background
Experimental Design
Notebook
Overview
Phage Team
Cholera Team
Results
Overview
Judging Criteria
Experimental
Modeling
Parts Submitted to the Registry
A Taste of Toronto
Human Practices
Overview
Orem Public Library Visit
The Adventure of Baxter Bacteria
Safety
Attributions & Collaborations
Attributions & Acknowledgements
Collaborations
iGEM 2013
2013 BYU iGEM Team
The BYU iGEM team consists of twelve devoted undergraduate students and two BYU faculty advisors.  Coming from different backgrounds, we represent six majors and two colleges within BYU; we even speak eight unique languages! By building a team with varied, yet complementary, backgrounds and interests, we are able to approach our project from multiple angles and, at times, impress even ourselves.
Team Bios
Profile
Retrieved from "" http://2013.igem.org/Team:BYU_Provo/Team ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
